step_idx,avg_score,loss_train,avg_winning,avg_diff
1000,0.16224,0.027,0.143,0.018
2000,0.19187,0.027,0.176,0.035
3000,0.21691,0.031,0.203,0.027
4000,0.22119,0.032,0.209,0.033
5000,0.19875,0.031,0.182,0.022
6000,0.20203,0.03,0.185,0.037
7000,0.21763,0.024,0.201,0.032
8000,0.2215,0.026,0.204,0.026
9000,0.22701,0.026,0.209,0.032
10000,0.24468,0.025,0.226,0.027
11000,0.2648,0.026,0.249,0.024
12000,0.24882,0.025,0.227,0.036
13000,0.28013,0.024,0.26,0.025
14000,0.25963,0.027,0.242,0.014
15000,0.26145,0.022,0.241,0.034
16000,0.29344,0.023,0.27,0.031
17000,0.29241,0.022,0.276,0.021
18000,0.287,0.024,0.267,0.019
19000,0.30126,0.026,0.28,0.015
20000,0.33926,0.022,0.319,0.029
21000,0.33963,0.023,0.318,0.009
22000,0.30993,0.024,0.287,0.024
23000,0.38075,0.024,0.355,0.018
24000,0.36202,0.022,0.337,0.015
25000,0.43574,0.023,0.406,0.016
26000,0.45963,0.023,0.429,0.02
27000,0.42237,0.022,0.389,0.03
28000,0.38768,0.017,0.377,0.01
29000,0.47909,0.028,0.446,0.014
30000,0.46187,0.028,0.426,0.021
31000,0.47258,0.021,0.437,0.023
32000,0.47303,0.028,0.437,0.014
33000,0.47177,0.024,0.437,0.015
34000,0.47525,0.023,0.442,0.022
35000,0.49557,0.023,0.462,0.012
36000,0.4995,0.021,0.466,0.01
37000,0.52332,0.027,0.484,0.013
38000,0.497,0.025,0.456,0.013
