avg_diff,avg_score,avg_winning,loss_train,step_idx
0.016,0.23311,0.213,0.033,1000
0.016,0.27101,0.26,0.039,2000
0.023,0.25496,0.24,0.041,3000
0.024,0.23779,0.222,0.038,4000
0.023,0.24623,0.224,0.035,5000
0.02,0.23916,0.216,0.031,6000
0.035,0.27002,0.249,0.031,7000
0.024,0.27289,0.247,0.028,8000
0.018,0.28643,0.261,0.03,9000
0.025,0.31142,0.285,0.031,10000
0.027,0.31742,0.289,0.028,11000
0.023,0.32477,0.298,0.028,12000
0.024,0.34759,0.32,0.031,13000
0.016,0.36476,0.333,0.025,14000
0.012,0.39016,0.358,0.027,15000
0.02,0.38203,0.349,0.031,16000
0.018,0.38428,0.349,0.031,17000
0.016,0.42697,0.394,0.026,18000
0.016,0.41867,0.39,0.026,19000
0.021,0.44405,0.413,0.031,20000
0.011,0.45971,0.431,0.03,21000
0.018,0.45364,0.42,0.031,22000
0.012,0.4606,0.432,0.031,23000
0.014,0.48046,0.444,0.036,24000
0.025,0.48008,0.442,0.028,25000
0.014,0.51227,0.471,0.032,26000
0.013,0.47924,0.451,0.03,27000
0.02,0.47937,0.442,0.035,28000
0.018,0.4752,0.436,0.028,29000
0.02,0.50612,0.469,0.031,30000
0.017,0.51091,0.472,0.032,31000
0.016,0.50303,0.468,0.028,32000
0.013,0.49548,0.455,0.026,33000
0.018,0.50647,0.47,0.024,34000
0.008,0.49204,0.457,0.02,35000
0.023,0.48798,0.446,0.03,36000
0.013,0.50223,0.46,0.026,37000
0.011,0.52084,0.479,0.027,38000
0.02,0.48806,0.458,0.025,39000
0.018,0.48554,0.444,0.027,40000
0.021,0.51375,0.479,0.02,41000
0.01,0.48258,0.453,0.024,42000
0.015,0.50766,0.474,0.022,43000
0.018,0.52508,0.485,0.028,44000
0.017,0.47586,0.449,0.022,45000
0.021,0.49079,0.453,0.027,46000
0.012,0.48817,0.449,0.024,47000
0.019,0.51081,0.473,0.024,48000
0.015,0.51759,0.476,0.029,49000
0.014,0.5249,0.481,0.02,50000
0.026,0.50346,0.46,0.021,51000
0.017,0.5053,0.463,0.009,52000
0.021,0.50316,0.46,0.023,53000
0.017,0.5318,0.49,0.017,54000
0.024,0.50275,0.464,0.013,55000
0.02,0.49324,0.457,0.019,56000
0.027,0.50981,0.466,0.032,57000
0.021,0.51177,0.468,0.023,58000
0.02,0.54123,0.497,0.02,59000
0.019,0.52291,0.479,0.021,60000
0.024,0.49809,0.455,0.006,61000
0.018,0.51555,0.472,0.019,62000
0.016,0.52305,0.479,0.014,63000
0.018,0.52384,0.481,0.016,64000
0.013,0.49893,0.458,0.02,65000
0.022,0.51126,0.469,0.031,66000
0.017,0.5197,0.476,0.029,67000
0.015,0.51798,0.474,0.024,68000
0.008,0.52385,0.482,0.014,69000
0.012,0.51912,0.477,0.012,70000
0.021,0.5027,0.459,0.028,71000
0.023,0.51736,0.473,0.006,72000
0.012,0.5024,0.46,0.015,73000
0.018,0.52561,0.483,0.037,74000
0.015,0.52914,0.491,0.024,75000
0.022,0.52768,0.484,0.024,76000
0.015,0.50687,0.465,0.02,77000
0.013,0.52107,0.484,0.016,78000
0.02,0.50289,0.46,0.029,79000
0.02,0.50812,0.467,0.023,80000
0.021,0.53502,0.493,0.02,81000
0.016,0.50855,0.466,0.013,82000
0.017,0.52646,0.486,0.013,83000
0.016,0.51358,0.481,0.011,84000
0.024,0.50975,0.47,0.012,85000
0.02,0.52379,0.482,0.022,86000
0.019,0.50128,0.458,0.035,87000
0.023,0.50754,0.464,0.025,88000
0.022,0.50571,0.463,0.013,89000
0.015,0.49596,0.463,0.002,90000
0.016,0.51936,0.478,0.027,91000
0.024,0.51521,0.472,0.027,92000
0.013,0.50565,0.466,0.013,93000
0.018,0.50834,0.47,0.014,94000
0.019,0.4972,0.456,0.025,95000
0.018,0.50849,0.468,0.018,96000
0.019,0.50169,0.461,0.025,97000
0.023,0.51115,0.474,0.011,98000
0.019,0.50237,0.463,0.025,99000
0.015,0.51142,0.471,0.025,100000
0.018,0.48779,0.448,0.016,101000
0.022,0.51142,0.471,0.01,102000
0.03,0.51141,0.47,0.031,103000
0.023,0.5097,0.468,0.015,104000
0.017,0.50287,0.467,0.013,105000
0.016,0.50629,0.465,0.019,106000
0.015,0.50963,0.467,0.023,107000
0.019,0.50027,0.46,0.023,108000
0.012,0.50176,0.461,0.015,109000
0.016,0.49841,0.459,0.017,110000
0.021,0.50869,0.468,0.018,111000
0.024,0.49562,0.454,0.009,112000
0.019,0.49158,0.452,0.022,113000
0.032,0.50031,0.46,0.025,114000
0.025,0.49668,0.454,0.031,115000
0.029,0.50073,0.458,0.015,116000
0.019,0.49431,0.452,0.02,117000
0.024,0.49527,0.453,0.015,118000
0.015,0.50576,0.466,0.012,119000
0.016,0.42864,0.403,0.02,120000
0.011,0.51117,0.473,0.027,121000
0.021,0.46946,0.432,0.023,122000
0.024,0.48335,0.443,0.019,123000
