avg_diff,avg_score,loss_train,step_idx,avg_winning
0.01,0.31102,0.0,1000,0.286
0.018,0.26373,0.0,2000,0.242
0.03,0.28412,0.0,3000,0.264
0.03,0.28806,0.0,4000,0.268
0.03,0.26337,0.0,5000,0.246
0.028,0.27809,0.0,6000,0.26
0.036,0.26876,0.0,7000,0.25
0.018,0.27651,0.0,8000,0.258
0.034,0.27218,0.0,9000,0.254
0.026,0.28679,0.0,10000,0.268
0.036,0.28984,0.0,11000,0.27
0.026,0.27768,0.0,12000,0.258
0.03,0.27446,0.0,13000,0.256
0.036,0.29206,0.0,14000,0.272
0.03,0.28098,0.0,15000,0.262
0.03,0.26473,0.0,16000,0.246
0.018,0.29507,0.0,17000,0.276
0.03,0.26893,0.0,18000,0.25
0.03,0.27887,0.0,19000,0.26
0.038,0.28863,0.0,20000,0.27
0.03,0.29424,0.0,21000,0.274
0.036,0.28678,0.0,22000,0.266
0.038,0.30078,0.0,23000,0.28
0.038,0.33863,0.0,24000,0.316
0.018,0.35905,0.0,25000,0.336
0.016,0.29594,0.0,26000,0.272
0.012,0.314,0.0,27000,0.292
0.034,0.27901,0.0,28000,0.258
0.03,0.28507,0.0,29000,0.264
0.032,0.263,0.0,30000,0.244
0.034,0.27621,0.0,31000,0.258
0.032,0.28444,0.0,32000,0.266
0.032,0.28978,0.0,33000,0.27
0.032,0.28762,0.0,34000,0.268
0.032,0.28136,0.0,35000,0.262
0.032,0.28814,0.0,36000,0.268
0.034,0.27809,0.0,37000,0.258
0.028,0.28448,0.0,38000,0.264
0.036,0.2766,0.0,39000,0.256
0.026,0.283,0.0,40000,0.262
0.024,0.27604,0.0,41000,0.256
0.028,0.28952,0.0,42000,0.268
0.022,0.29823,0.0,43000,0.276
0.03,0.28677,0.0,44000,0.264
0.022,0.2816,0.0,45000,0.258
0.02,0.29579,0.0,46000,0.272
0.022,0.27699,0.0,47000,0.252
0.028,0.28717,0.0,48000,0.264
0.038,0.27593,0.0,49000,0.254
0.024,0.30264,0.0,50000,0.28
0.028,0.30525,0.0,51000,0.284
0.032,0.2864,0.0,52000,0.266
0.028,0.27408,0.0,53000,0.256
0.024,0.30206,0.0,54000,0.284
0.024,0.27817,0.0,55000,0.26
0.028,0.27929,0.0,56000,0.262
0.036,0.28287,0.0,57000,0.266
0.022,0.24034,0.0,58000,0.226
0.032,0.23217,0.0,59000,0.218
0.024,0.23867,0.0,60000,0.224
0.026,0.23,0.0,61000,0.216
0.026,0.22872,0.0,62000,0.214
0.024,0.23703,0.0,63000,0.222
0.034,0.22228,0.0,64000,0.208
0.028,0.24061,0.0,65000,0.226
0.03,0.23403,0.0,66000,0.22
0.028,0.22417,0.0,67000,0.21
0.026,0.23826,0.0,68000,0.224
0.03,0.21367,0.0,69000,0.2
0.03,0.23173,0.0,70000,0.218
0.034,0.2319,0.0,71000,0.218
0.034,0.22188,0.0,72000,0.208
0.032,0.22625,0.0,73000,0.212
0.034,0.22208,0.0,74000,0.208
0.026,0.21782,0.0,75000,0.204
0.03,0.20993,0.0,76000,0.196
0.03,0.21977,0.0,77000,0.206
0.034,0.22776,0.0,78000,0.214
0.036,0.22535,0.0,79000,0.212
