loss_train,avg_winning,step_idx,avg_score
0.286,0.0,0,0.004
0.732,0.0,1000,0.004
0.001,0.0,2000,0.004
0.001,0.0,3000,0.004
0.048,0.0,4000,0.004
0.045,0.0,5000,0.004
0.064,0.0,6000,0.004
0.056,0.0,7000,0.004
0.011,0.0,8000,0.004
0.056,0.0,9000,0.004
0.053,0.0,10000,0.004
0.038,0.0,11000,0.004
0.038,0.0,12000,0.004
0.017,0.0,13000,0.004
0.049,0.0,14000,0.004
0.051,0.0,15000,0.004
0.0,0.0,16000,0.004
0.002,0.0,17000,0.004
0.0,0.0,18000,0.004
0.06,0.0,19000,0.004
0.013,0.0,20000,0.004
0.005,0.0,21000,0.004
0.051,0.0,22000,0.004
0.021,0.0,23000,0.004
0.014,0.0,24000,0.004
0.006,0.0,25000,0.004
0.02,0.0,26000,0.004
0.0,0.0,27000,0.004
0.005,0.0,28000,0.004
0.006,0.0,29000,0.004
