step_idx,avg_diff,loss_train,avg_winning,avg_score
108000,0.026,0.0,0.495,0.53544
109000,0.019,0.0,0.489,0.53007
110000,0.026,0.0,0.5,0.5403
111000,0.024,0.0,0.485,0.52512
112000,0.022,0.0,0.482,0.52215
113000,0.022,0.0,0.49,0.53005
114000,0.025,0.0,0.479,0.51836
115000,0.02,0.0,0.483,0.52243
116000,0.018,0.0,0.482,0.52225
117000,0.017,0.0,0.49,0.53059
118000,0.027,0.0,0.49,0.53078
119000,0.028,0.0,0.486,0.52663
120000,0.02,0.0,0.491,0.53174
121000,0.019,0.0,0.493,0.53467
122000,0.028,0.0,0.489,0.53032
123000,0.021,0.0,0.487,0.52748
124000,0.018,0.0,0.492,0.53245
125000,0.031,0.0,0.495,0.53504
126000,0.026,0.0,0.49,0.53031
127000,0.02,0.0,0.496,0.53562
128000,0.027,0.0,0.484,0.52323
129000,0.026,0.0,0.496,0.53584
130000,0.028,0.0,0.487,0.52723
131000,0.022,0.0,0.484,0.52448
132000,0.023,0.0,0.482,0.52172
133000,0.014,0.0,0.482,0.52267
134000,0.02,0.0,0.491,0.53149
135000,0.023,0.0,0.502,0.54285
136000,0.019,0.0,0.49,0.53092
137000,0.022,0.0,0.495,0.53619
138000,0.02,0.0,0.479,0.51988
139000,0.026,0.0,0.508,0.54839
140000,0.023,0.0,0.491,0.53096
141000,0.019,0.0,0.486,0.52606
142000,0.022,0.0,0.486,0.52506
143000,0.021,0.0,0.484,0.52342
144000,0.023,0.0,0.483,0.52249
145000,0.021,0.0,0.49,0.52975
146000,0.024,0.0,0.478,0.51764
147000,0.023,0.0,0.496,0.53653
148000,0.026,0.0,0.502,0.543
149000,0.021,0.0,0.48,0.5201
150000,0.023,0.0,0.488,0.52883
151000,0.023,0.0,0.491,0.53167
152000,0.018,0.0,0.496,0.53711
