avg_winning,avg_score,avg_diff,loss_train,step_idx
0.254,0.28127,0.016,0.0,1000
0.284,0.31368,0.029,0.0,2000
0.297,0.32755,0.024,0.0,3000
0.318,0.34875,0.025,0.0,4000
0.293,0.32046,0.016,0.0,5000
0.307,0.33693,0.02,0.0,6000
0.314,0.34699,0.019,0.0,7000
0.326,0.35887,0.017,0.0,8000
0.34,0.37352,0.016,0.0,9000
0.322,0.35418,0.014,0.0,10000
0.338,0.37127,0.023,0.0,11000
0.345,0.37743,0.03,0.0,12000
0.323,0.35773,0.018,0.0,13000
0.315,0.3503,0.02,0.0,14000
0.324,0.35934,0.021,0.0,15000
0.316,0.35184,0.016,0.0,16000
0.327,0.36183,0.021,0.0,17000
0.311,0.34584,0.016,0.0,18000
0.34,0.37672,0.019,0.0,19000
0.335,0.37175,0.018,0.0,20000
0.325,0.36198,0.024,0.0,21000
0.355,0.39273,0.015,0.0,22000
0.345,0.3826,0.014,0.0,23000
0.365,0.40444,0.023,0.0,24000
0.374,0.41344,0.024,0.0,25000
0.356,0.39523,0.019,0.0,26000
0.345,0.38278,0.014,0.0,27000
0.366,0.40571,0.02,0.0,28000
0.386,0.42514,0.021,0.0,29000
0.383,0.42229,0.02,0.0,30000
0.386,0.42534,0.021,0.0,31000
0.382,0.42145,0.015,0.0,32000
0.382,0.42228,0.014,0.0,33000
0.386,0.42611,0.02,0.0,34000
0.374,0.41354,0.025,0.0,35000
0.392,0.43198,0.026,0.0,36000
0.401,0.44081,0.012,0.0,37000
0.387,0.42733,0.017,0.0,38000
0.374,0.41453,0.023,0.0,39000
0.387,0.42809,0.028,0.0,40000
0.403,0.44366,0.014,0.0,41000
0.403,0.44353,0.021,0.0,42000
0.4,0.4406,0.016,0.0,43000
0.388,0.42956,0.023,0.0,44000
0.362,0.40144,0.019,0.0,45000
0.387,0.42791,0.023,0.0,46000
0.386,0.42732,0.021,0.0,47000
0.383,0.424,0.026,0.0,48000
0.383,0.42365,0.024,0.0,49000
0.386,0.42713,0.018,0.0,50000
0.415,0.45536,0.019,0.0,51000
0.419,0.46049,0.024,0.0,52000
0.376,0.41609,0.019,0.0,53000
0.404,0.44457,0.02,0.0,54000
0.393,0.43337,0.023,0.0,55000
0.405,0.44689,0.02,0.0,56000
0.417,0.45847,0.015,0.0,57000
0.392,0.4339,0.024,0.0,58000
0.427,0.46834,0.016,0.0,59000
0.422,0.46239,0.023,0.0,60000
0.405,0.44623,0.027,0.0,61000
0.427,0.46757,0.018,0.0,62000
0.422,0.46274,0.02,0.0,63000
0.424,0.46657,0.027,0.0,64000
0.417,0.45869,0.03,0.0,65000
0.417,0.45928,0.021,0.0,66000
0.402,0.44324,0.035,0.0,67000
0.428,0.4702,0.027,0.0,68000
0.426,0.46779,0.029,0.0,69000
0.404,0.44552,0.025,0.0,70000
0.394,0.43612,0.022,0.0,71000
0.416,0.45846,0.03,0.0,72000
0.443,0.4854,0.028,0.0,73000
0.448,0.49094,0.026,0.0,74000
0.429,0.47242,0.02,0.0,75000
0.435,0.47798,0.027,0.0,76000
0.415,0.45834,0.019,0.0,77000
0.418,0.46113,0.021,0.0,78000
0.438,0.48116,0.027,0.0,79000
0.435,0.47847,0.02,0.0,80000
0.418,0.46112,0.022,0.0,81000
0.446,0.49043,0.025,0.0,82000
0.451,0.49497,0.024,0.0,83000
0.44,0.48372,0.023,0.0,84000
0.441,0.48455,0.024,0.0,85000
0.432,0.47624,0.026,0.0,86000
0.446,0.4898,0.027,0.0,87000
0.454,0.49705,0.023,0.0,88000
0.456,0.49829,0.017,0.0,89000
0.45,0.49261,0.015,0.0,90000
0.46,0.50162,0.025,0.0,91000
0.453,0.49498,0.022,0.0,92000
0.468,0.51043,0.02,0.0,93000
0.45,0.49358,0.024,0.0,94000
0.465,0.50757,0.023,0.0,95000
0.452,0.4942,0.023,0.0,96000
0.457,0.50085,0.012,0.0,97000
0.463,0.50673,0.018,0.0,98000
0.447,0.48984,0.027,0.0,99000
0.449,0.49333,0.02,0.0,100000
0.46,0.50322,0.028,0.0,101000
0.464,0.50604,0.021,0.0,102000
0.469,0.51039,0.017,0.0,103000
0.454,0.49446,0.021,0.0,104000
0.461,0.50145,0.021,0.0,105000
0.468,0.50929,0.027,0.0,106000
0.457,0.49848,0.021,0.0,107000
0.476,0.51938,0.014,0.0,108000
0.459,0.50232,0.019,0.0,109000
0.468,0.51208,0.029,0.0,110000
0.473,0.51694,0.022,0.0,111000
0.461,0.50502,0.021,0.0,112000
0.471,0.51499,0.019,0.0,113000
0.461,0.50393,0.013,0.0,114000
0.455,0.49853,0.014,0.0,115000
0.469,0.51285,0.025,0.0,116000
0.485,0.52868,0.021,0.0,117000
0.472,0.5156,0.024,0.0,118000
0.455,0.49869,0.025,0.0,119000
