loss_train,step_idx,avg_score,avg_winning,avg_diff
0.029,200,7.14194,0.708,0.04036
0.067,400,7.74601,0.768,0.01762
0.094,600,7.62528,0.756,0.02476
0.112,800,7.58242,0.752,0.00848
0.13,1000,7.70512,0.764,0.01324
0.154,1200,7.6675,0.76,0.0203
0.176,1400,7.30623,0.724,0.01844
0.2,1600,7.38593,0.732,0.00706
0.223,1800,7.26173,0.72,0.03212
0.231,2000,2.81,0.28,0.03137
0.277,2200,7.02337,0.696,0.00694
0.283,2400,4.70647,0.468,0.0525
0.29,2600,4.42799,0.44,0.02094
0.295,2800,4.67004,0.464,0.01744
0.299,3000,6.21052,0.616,0.01214
0.292,3200,4.5071,0.448,0.03855
0.302,3400,6.08749,0.604,0.08433
0.314,3600,5.23261,0.52,0.07559
0.335,3800,4.62733,0.46,0.05481
